0 	 38
1 	 17
2 	 15
3 	 15
4 	 15
5 	 15
6 	 15
7 	 15
8 	 15
9 	 15
10 	 15
11 	 15
12 	 15
13 	 15
14 	 15
15 	 15
16 	 15
17 	 15
18 	 15
19 	 15
20 	 15
21 	 15
22 	 15
23 	 15
24 	 15
25 	 15
26 	 15
27 	 15
28 	 15
29 	 14
30 	 14
31 	 14
32 	 14
33 	 14
34 	 14
35 	 14
36 	 14
37 	 14
38 	 14
39 	 14
40 	 14
41 	 14
42 	 14
43 	 14
44 	 14
45 	 14
46 	 14
47 	 14
48 	 14
49 	 14
50 	 14
51 	 14
52 	 14
53 	 14
54 	 14
55 	 14
56 	 14
57 	 14
58 	 14
59 	 14
60 	 14
61 	 14
62 	 14
63 	 14
64 	 14
65 	 14
66 	 14
67 	 14
68 	 14
69 	 14
70 	 14
71 	 14
72 	 14
73 	 14
74 	 14
75 	 14
76 	 14
77 	 14
78 	 14
79 	 14
80 	 14
81 	 14
82 	 14
83 	 14
84 	 14
85 	 14
86 	 14
87 	 14
88 	 14
89 	 14
90 	 14
91 	 14
92 	 14
93 	 14
94 	 14
95 	 14
96 	 14
97 	 14
98 	 14
99 	 14
100 	 14
101 	 14
102 	 14
103 	 14
104 	 14
105 	 14
106 	 14
107 	 14
108 	 14
109 	 14
110 	 14
111 	 14
112 	 14
113 	 14
114 	 14
115 	 14
116 	 14
117 	 14
118 	 14
119 	 14
120 	 14
121 	 14
122 	 14
123 	 14
124 	 14
125 	 14
126 	 14
127 	 14
128 	 14
129 	 14
130 	 14
131 	 14
132 	 14
133 	 14
134 	 14
135 	 14
136 	 14
137 	 14
138 	 14
139 	 14
140 	 14
141 	 14
142 	 13
143 	 13
144 	 13
145 	 13
146 	 13
147 	 13
148 	 13
149 	 13
150 	 13
151 	 13
152 	 13
153 	 13
154 	 13
155 	 13
156 	 13
157 	 13
158 	 13
159 	 13
160 	 13
161 	 13
162 	 13
163 	 13
164 	 13
165 	 13
166 	 13
167 	 13
168 	 13
169 	 13
170 	 13
171 	 13
172 	 13
173 	 13
174 	 13
175 	 13
176 	 13
177 	 13
178 	 13
179 	 13
180 	 13
